T_ONTIME_MARKETING 4
YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018,12,1,6,12/1/2018 12:00:00 AM,9E,3340,11433,DTW,11042,CLE,1600,1555,-5.00,0.00,0.00,-1,19.00,1614,1640,10.00,1707,1650,-17.00,0.00,0.00,-2,0.00,,26.00,95.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,3341,10397,ATL,10874,CAK,2020,2016,-4.00,0.00,0.00,-1,23.00,2039,2149,5.00,2203,2154,-9.00,0.00,0.00,-1,0.00,,70.00,528.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,3342,10874,CAK,10397,ATL,1650,1655,5.00,5.00,0.00,0,17.00,1712,1842,6.00,1852,1848,-4.00,0.00,0.00,-1,0.00,,90.00,528.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,3365,13487,MSP,11042,CLE,850,845,-5.00,0.00,0.00,-1,18.00,903,1129,12.00,1148,1141,-7.00,0.00,0.00,-1,0.00,,86.00,622.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,3416,12478,JFK,11042,CLE,1815,1810,-5.00,0.00,0.00,-1,23.00,1833,1946,9.00,2028,1955,-33.00,0.00,0.00,-2,0.00,,73.00,425.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5027,10529,BDL,11042,CLE,600,555,-5.00,0.00,0.00,-1,17.00,612,739,4.00,806,743,-23.00,0.00,0.00,-2,0.00,,87.00,476.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5116,11042,CLE,12478,JFK,830,829,-1.00,0.00,0.00,-1,13.00,842,942,5.00,1018,947,-31.00,0.00,0.00,-2,0.00,,60.00,425.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5152,11042,CLE,12953,LGA,1230,1221,-9.00,0.00,0.00,-1,9.00,1230,1332,10.00,1406,1342,-24.00,0.00,0.00,-2,0.00,,62.00,419.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5163,12953,LGA,11042,CLE,1515,1507,-8.00,0.00,0.00,-1,20.00,1527,1634,21.00,1716,1655,-21.00,0.00,0.00,-2,0.00,,67.00,419.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5279,10874,CAK,10397,ATL,700,656,-4.00,0.00,0.00,-1,25.00,721,859,10.00,905,909,4.00,4.00,0.00,0,0.00,,98.00,528.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5321,11042,CLE,11433,DTW,1820,1815,-5.00,0.00,0.00,-1,22.00,1837,1902,10.00,1923,1912,-11.00,0.00,0.00,-1,0.00,,25.00,95.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5347,11042,CLE,11433,DTW,618,613,-5.00,0.00,0.00,-1,16.00,629,654,8.00,734,702,-32.00,0.00,0.00,-2,0.00,,25.00,95.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5350,13487,MSP,11042,CLE,1510,1506,-4.00,0.00,0.00,-1,115.00,1701,1929,8.00,1812,1937,85.00,85.00,1.00,5,0.00,,88.00,622.00,0.00,0.00,85.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5367,12953,LGA,11042,CLE,825,819,-6.00,0.00,0.00,-1,17.00,836,951,18.00,1024,1009,-15.00,0.00,0.00,-1,0.00,,75.00,419.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5412,10397,ATL,10874,CAK,1035,1139,64.00,64.00,1.00,4,18.00,1157,1304,7.00,1215,1311,56.00,56.00,1.00,3,0.00,,67.00,528.00,56.00,0.00,0.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5442,11042,CLE,13487,MSP,925,919,-6.00,0.00,0.00,-1,10.00,929,1002,5.00,1042,1007,-35.00,0.00,0.00,-2,0.00,,93.00,622.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,9E,5447,11042,CLE,13487,MSP,1545,1639,54.00,54.00,1.00,3,23.00,1702,1754,18.00,1653,1812,79.00,79.00,1.00,5,0.00,,112.00,622.00,0.00,0.00,79.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1492,11066,CMH,11298,DFW,1454,1447,-7.00,0.00,0.00,-1,21.00,1508,1644,17.00,1652,1701,9.00,9.00,0.00,0,0.00,,156.00,926.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1492,11298,DFW,11066,CMH,1050,1055,5.00,5.00,0.00,0,16.00,1111,1403,6.00,1410,1409,-1.00,0.00,0.00,-1,0.00,,112.00,926.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1541,11042,CLE,11298,DFW,1537,1533,-4.00,0.00,0.00,-1,14.00,1547,1731,9.00,1745,1740,-5.00,0.00,0.00,-1,0.00,,164.00,1021.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1541,11298,DFW,11042,CLE,1122,1140,18.00,18.00,1.00,1,16.00,1156,1448,5.00,1455,1453,-2.00,0.00,0.00,-1,0.00,,112.00,1021.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1583,11066,CMH,11298,DFW,744,743,-1.00,0.00,0.00,-1,12.00,755,935,10.00,946,945,-1.00,0.00,0.00,-1,0.00,,160.00,926.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1607,11298,DFW,11042,CLE,1855,1850,-5.00,0.00,0.00,-1,16.00,1906,2204,9.00,2235,2213,-22.00,0.00,0.00,-2,0.00,,118.00,1021.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1656,11042,CLE,14100,PHL,556,552,-4.00,0.00,0.00,-1,21.00,613,708,5.00,728,713,-15.00,0.00,0.00,-1,0.00,,55.00,363.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1796,14107,PHX,11066,CMH,955,957,2.00,2.00,0.00,0,36.00,1033,1537,3.00,1537,1540,3.00,3.00,0.00,0,0.00,,184.00,1670.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1987,14100,PHL,11042,CLE,2105,2100,-5.00,0.00,0.00,-1,17.00,2117,2218,7.00,2246,2225,-21.00,0.00,0.00,-2,0.00,,61.00,363.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,1992,12892,LAX,11066,CMH,1640,1634,-6.00,0.00,0.00,-1,9.00,1643,2310,3.00,2357,2313,-44.00,0.00,0.00,-2,0.00,,207.00,1995.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2021,11042,CLE,11057,CLT,826,823,-3.00,0.00,0.00,-1,13.00,836,946,10.00,1016,956,-20.00,0.00,0.00,-2,0.00,,70.00,430.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2079,11066,CMH,12892,LAX,625,619,-6.00,0.00,0.00,-1,13.00,632,805,7.00,851,812,-39.00,0.00,0.00,-2,0.00,,273.00,1995.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2102,11066,CMH,12892,LAX,1625,1619,-6.00,0.00,0.00,-1,18.00,1637,1817,5.00,1829,1822,-7.00,0.00,0.00,-1,0.00,,280.00,1995.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2109,11057,CLT,11042,CLE,2014,2009,-5.00,0.00,0.00,-1,13.00,2022,2130,6.00,2147,2136,-11.00,0.00,0.00,-1,0.00,,68.00,430.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2207,11298,DFW,11066,CMH,1837,1835,-2.00,0.00,0.00,-1,15.00,1850,2130,4.00,2200,2134,-26.00,0.00,0.00,-2,0.00,,100.00,926.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2236,11298,DFW,11066,CMH,1505,1503,-2.00,0.00,0.00,-1,13.00,1516,1803,6.00,1822,1809,-13.00,0.00,0.00,-1,0.00,,107.00,926.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2253,11042,CLE,11298,DFW,647,646,-1.00,0.00,0.00,-1,11.00,657,845,9.00,904,854,-10.00,0.00,0.00,-1,0.00,,168.00,1021.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,415,11057,CLT,11066,CMH,2227,2247,20.00,20.00,1.00,1,18.00,2305,2,4.00,2347,6,19.00,19.00,1.00,1,0.00,,57.00,347.00,13.00,0.00,0.00,0.00,6.00
2018,12,1,6,12/1/2018 12:00:00 AM,AA,421,11066,CMH,11057,CLT,500,457,-3.00,0.00,0.00,-1,12.00,509,603,5.00,624,608,-16.00,0.00,0.00,-2,0.00,,54.00,347.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,479,11066,CMH,14107,PHX,725,714,-11.00,0.00,0.00,-1,16.00,730,928,22.00,1008,950,-18.00,0.00,0.00,-2,0.00,,238.00,1670.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,552,12892,LAX,11066,CMH,957,952,-5.00,0.00,0.00,-1,22.00,1014,1658,5.00,1718,1703,-15.00,0.00,0.00,-1,0.00,,224.00,1995.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,771,11042,CLE,14100,PHL,1440,1425,-15.00,0.00,0.00,-1,23.00,1448,1541,8.00,1611,1549,-22.00,0.00,0.00,-2,0.00,,53.00,363.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,771,14100,PHL,11042,CLE,1230,1223,-7.00,0.00,0.00,-1,15.00,1238,1347,5.00,1400,1352,-8.00,0.00,0.00,-1,0.00,,69.00,363.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4600,11042,CLE,13930,ORD,1229,1221,-8.00,0.00,0.00,-1,24.00,1245,1254,17.00,1257,1311,14.00,14.00,0.00,0,0.00,,69.00,315.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4610,10874,CAK,13930,ORD,1421,1444,23.00,23.00,1.00,1,15.00,1459,1533,13.00,1455,1546,51.00,51.00,1.00,3,0.00,,94.00,343.00,0.00,0.00,28.00,0.00,23.00
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4612,10874,CAK,13930,ORD,620,615,-5.00,0.00,0.00,-1,16.00,631,657,8.00,653,705,12.00,12.00,0.00,0,0.00,,86.00,343.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4614,10874,CAK,13930,ORD,1110,1105,-5.00,0.00,0.00,-1,13.00,1118,1157,11.00,1143,1208,25.00,25.00,1.00,1,0.00,,99.00,343.00,0.00,0.00,25.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4672,13930,ORD,10874,CAK,1125,1145,20.00,20.00,1.00,1,31.00,1216,1414,9.00,1351,1423,32.00,32.00,1.00,2,0.00,,58.00,343.00,20.00,0.00,12.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4722,13930,ORD,11066,CMH,1135,1128,-7.00,0.00,0.00,-1,14.00,1142,1339,5.00,1355,1344,-11.00,0.00,0.00,-1,0.00,,57.00,296.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4736,13930,ORD,10874,CAK,745,742,-3.00,0.00,0.00,-1,17.00,759,1008,2.00,1011,1010,-1.00,0.00,0.00,-1,0.00,,69.00,343.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4763,13930,ORD,11042,CLE,625,623,-2.00,0.00,0.00,-1,26.00,649,844,6.00,845,850,5.00,5.00,0.00,0,0.00,,55.00,315.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4778,13930,ORD,10874,CAK,1757,,,,,,,,,,2023,,,,,,1.00,A,,343.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4786,11066,CMH,13930,ORD,1431,1425,-6.00,0.00,0.00,-1,7.00,1432,1500,12.00,1453,1512,19.00,19.00,1.00,1,0.00,,88.00,296.00,0.00,0.00,19.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,B6,1840,11042,CLE,10721,BOS,545,545,0.00,0.00,0.00,0,13.00,558,710,11.00,724,721,-3.00,0.00,0.00,-1,0.00,,72.00,563.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,B6,1841,10721,BOS,11042,CLE,2159,2200,1.00,1.00,0.00,0,11.00,2211,2344,7.00,2359,2351,-8.00,0.00,0.00,-1,0.00,,93.00,563.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,B6,640,11042,CLE,10721,BOS,1913,1905,-8.00,0.00,0.00,-1,14.00,1919,2033,4.00,2051,2037,-14.00,0.00,0.00,-1,0.00,,74.00,563.00,,,,,
