"YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","DEST_AIRPORT_ID","DEST","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FlightDate","DepartureHour"
2022,12,1,4,"12/1/2022 12:00:00 AM","9E",4727,11066,"CMH",12478,"JFK",600,603,3,3,0,0,14,617,731,6,759,737,-22,0,0,-2,0,"",74,483,NA,NA,NA,NA,NA,2022-12-01,6
2022,12,1,4,"12/1/2022 12:00:00 AM","9E",4898,11066,"CMH",12953,"LGA",1743,1742,-1,0,0,-1,22,1804,1922,14,1929,1936,7,7,0,0,0,"",78,479,NA,NA,NA,NA,NA,2022-12-01,17
2022,12,1,4,"12/1/2022 12:00:00 AM","9E",5094,11066,"CMH",12953,"LGA",1115,1110,-5,0,0,-1,9,1119,1229,25,1259,1254,-5,0,0,-1,0,"",70,479,NA,NA,NA,NA,NA,2022-12-01,11
2022,12,1,4,"12/1/2022 12:00:00 AM","9E",5454,11066,"CMH",12478,"JFK",1326,1324,-2,0,0,-1,11,1335,1454,9,1529,1503,-26,0,0,-2,0,"",79,483,NA,NA,NA,NA,NA,2022-12-01,13
2022,12,1,4,"12/1/2022 12:00:00 AM","9E",5522,11066,"CMH",12478,"JFK",1820,1816,-4,0,0,-1,23,1839,2005,6,2027,2011,-16,0,0,-2,0,"",86,483,NA,NA,NA,NA,NA,2022-12-01,18
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",1106,11066,"CMH",11057,"CLT",615,605,-10,0,0,-1,12,617,712,10,752,722,-30,0,0,-2,0,"",55,347,NA,NA,NA,NA,NA,2022-12-01,6
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",1279,11066,"CMH",11298,"DFW",1350,1347,-3,0,0,-1,14,1401,1536,7,1545,1543,-2,0,0,-1,0,"",155,926,NA,NA,NA,NA,NA,2022-12-01,13
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",1314,11066,"CMH",11057,"CLT",1701,1702,1,1,0,0,22,1724,1822,15,1829,1837,8,8,0,0,0,"",58,347,NA,NA,NA,NA,NA,2022-12-01,17
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",1317,11066,"CMH",14100,"PHL",1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,NA,NA,NA,NA,NA,1,"A",NA,406,NA,NA,NA,NA,NA,2022-12-01,18
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",1423,11066,"CMH",11057,"CLT",740,733,-7,0,0,-1,13,746,845,28,917,913,-4,0,0,-1,0,"",59,347,NA,NA,NA,NA,NA,2022-12-01,7
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",1437,11066,"CMH",11298,"DFW",1752,1742,-10,0,0,-1,13,1755,1912,17,1949,1929,-20,0,0,-2,0,"",137,926,NA,NA,NA,NA,NA,2022-12-01,17
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",1583,11066,"CMH",11298,"DFW",550,545,-5,0,0,-1,41,626,749,8,755,757,2,2,0,0,0,"",143,926,NA,NA,NA,NA,NA,2022-12-01,5
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",2090,11066,"CMH",11057,"CLT",1044,1037,-7,0,0,-1,20,1057,1158,5,1210,1203,-7,0,0,-1,0,"",61,347,NA,NA,NA,NA,NA,2022-12-01,10
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",2649,11066,"CMH",14100,"PHL",805,757,-8,0,0,-1,16,813,917,4,937,921,-16,0,0,-2,0,"",64,406,NA,NA,NA,NA,NA,2022-12-01,8
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",2900,11066,"CMH",14107,"PHX",747,744,-3,0,0,-1,14,758,958,18,1025,1016,-9,0,0,-1,0,"",240,1670,NA,NA,NA,NA,NA,2022-12-01,7
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",2958,11066,"CMH",11278,"DCA",1745,1735,-10,0,0,-1,11,1746,1846,3,1900,1849,-11,0,0,-1,0,"",60,323,NA,NA,NA,NA,NA,2022-12-01,17
2022,12,1,4,"12/1/2022 12:00:00 AM","AA",2961,11066,"CMH",11298,"DFW",930,926,-4,0,0,-1,22,948,1111,7,1126,1118,-8,0,0,-1,0,"",143,926,NA,NA,NA,NA,NA,2022-12-01,9
2022,12,1,4,"12/1/2022 12:00:00 AM","AS",992,11066,"CMH",14747,"SEA",1735,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956,NA,NA,NA,NA,NA,1,"A",NA,2016,NA,NA,NA,NA,NA,2022-12-01,17
2022,12,1,4,"12/1/2022 12:00:00 AM","C5",4288,11066,"CMH",12264,"IAD",1024,1046,22,22,1,1,15,1101,1152,8,1140,1200,20,20,1,1,0,"",51,299,8,0,0,0,12,2022-12-01,10
2022,12,1,4,"12/1/2022 12:00:00 AM","DL",1354,11066,"CMH",10397,"ATL",1816,1817,1,1,0,0,11,1828,1937,9,2004,1946,-18,0,0,-2,0,"",69,447,NA,NA,NA,NA,NA,2022-12-01,18
2022,12,1,4,"12/1/2022 12:00:00 AM","DL",1386,11066,"CMH",10397,"ATL",600,556,-4,0,0,-1,23,619,721,13,735,734,-1,0,0,-1,0,"",62,447,NA,NA,NA,NA,NA,2022-12-01,6
