YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2019,12,1,7,12/1/2019 12:00:00 AM,9E,3397,11433,DTW,11042,CLE,2010,2015,5.00,5.00,0.00,0,26.00,2041,2105,12.00,2113,2117,4.00,4.00,0.00,0,0.00,,24.00,95.00,,,,,
2019,12,1,7,12/1/2019 12:00:00 AM,9E,3495,11042,CLE,11433,DTW,0834,0835,1.00,1.00,0.00,0,9.00,0844,0906,5.00,0938,0911,-27.00,0.00,0.00,-2,0.00,,22.00,95.00,,,,,
2019,12,1,7,12/1/2019 12:00:00 AM,9E,3498,11267,DAY,13487,MSP,1323,1333,10.00,10.00,0.00,0,15.00,1348,1420,8.00,1424,1428,4.00,4.00,0.00,0,0.00,,92.00,574.00,,,,,
2019,12,1,7,12/1/2019 12:00:00 AM,9E,3498,13487,MSP,11267,DAY,0955,0953,-2.00,0.00,0.00,-1,51.00,1044,1308,4.00,1253,1312,19.00,19.00,1.00,1,0.00,,84.00,574.00,0.00,0.00,19.00,0.00,0.00
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5017,11042,CLE,10529,BDL,2148,,,,,,,,,,2321,,,,,,1.00,B,,476.00,,,,,
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5021,11433,DTW,11042,CLE,1400,1510,70.00,70.00,1.00,4,36.00,1546,1611,9.00,1454,1620,86.00,86.00,1.00,5,0.00,,25.00,95.00,0.00,0.00,16.00,0.00,70.00
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5044,11267,DAY,11433,DTW,2038,2031,-7.00,0.00,0.00,-1,13.00,2044,2120,15.00,2149,2135,-14.00,0.00,0.00,-1,0.00,,36.00,166.00,,,,,
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5044,11433,DTW,11267,DAY,1910,1906,-4.00,0.00,0.00,-1,16.00,1922,1952,5.00,2013,1957,-16.00,0.00,0.00,-2,0.00,,30.00,166.00,,,,,
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5097,11042,CLE,11433,DTW,2055,2105,10.00,10.00,0.00,0,9.00,2114,2143,6.00,2155,2149,-6.00,0.00,0.00,-1,0.00,,29.00,95.00,,,,,
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5098,10529,BDL,11042,CLE,0600,0553,-7.00,0.00,0.00,-1,16.00,0609,0751,8.00,0758,0759,1.00,1.00,0.00,0,0.00,,102.00,476.00,,,,,
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5110,13487,MSP,11042,CLE,0845,0914,29.00,29.00,1.00,1,82.00,1036,1306,6.00,1147,1312,85.00,85.00,1.00,5,0.00,,90.00,622.00,29.00,0.00,56.00,0.00,0.00
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5127,11042,CLE,12478,JFK,1721,1757,36.00,36.00,1.00,2,25.00,1822,1938,19.00,1919,1957,38.00,38.00,1.00,2,0.00,,76.00,425.00,0.00,0.00,11.00,0.00,27.00
2019,12,1,7,12/1/2019 12:00:00 AM,9E,5127,12478,JFK,11042,CLE,1442,1519,37.00,37.00,1.00,2,31.00,1550,1701,12.00,1646,1713,27.00,27.00,1.00,1,0.00,,71.00,425.00,0.00,14.00,0.00,0.00,13.00
